Date,Open,High,Low,Close
01 June 2016,"?28,168","?28,300","?28,071","?28,227"
02 June 2016,"?28,271","?28,281","?28,127","?28,241"
03 June 2016,"?28,340","?28,487","?28,340","?28,439"
04 June 2016,"?28,443","?28,483","?28,239","?28,335"
05 June 2016,"?28,386","?28,392","?28,149","?28,290"
06 June 2016,"?28,349","?28,469","?28,152","?28,330"
07 June 2016,"?28,367","?28,456","?28,287","?28,334"
08 June 2016,"?28,450","?28,459","?28,197","?28,352"
09 June 2016,"?28,386","?28,393","?28,263","?28,339"
10 June 2016,"?28,270","?28,382","?28,102","?28,156"
11 June 2016,"?28,224","?28,328","?28,146","?28,301"
12 June 2016,"?28,670","?28,726","?28,411","?28,469"
13 June 2016,"?28,482","?28,697","?28,419","?28,662"
14 June 2016,"?28,717","?28,801","?28,597","?28,762"
15 June 2016,"?28,822","?28,964","?28,789","?28,865"
16 June 2016,"?28,928","?29,065","?28,860","?28,893"
17 June 2016,"?28,911","?28,962","?28,791","?28,813"
18 June 2016,"?28,825","?28,877","?28,721","?28,743"
19 June 2016,"?28,849","?29,029","?28,824","?28,984"
20 June 2016,"?29,117","?29,146","?28,784","?28,840"
21 June 2016,"?28,828","?28,860","?28,716","?28,832"
22 June 2016,"?28,859","?29,070","?28,856","?29,048"
23 June 2016,"?29,092","?29,098","?28,958","?29,000"
24 June 2016,"?29,021","?29,022","?28,815","?28,902"
25 June 2016,"?28,910","?28,987","?28,815","?28,929"
26 June 2016,"?29,006","?29,077","?28,851","?28,946"
27 June 2016,"?29,437","?29,562","?29,356","?29,443"
28 June 2016,"?29,453","?29,500","?29,359","?29,398"
29 June 2016,"?29,483","?29,615","?29,483","?29,586"
30 June 2016,"?29,756","?29,825","?29,602","?29,649"
01 July 2016,"?29,654","?29,699","?29,482","?29,519"
02 July 2016,"?29,526","?29,585","?29,380","?29,485"
03 July 2016,"?29,341","?29,341","?29,137","?29,168"
04 July 2016,"?29,201","?29,374","?29,198","?29,332"
05 July 2016,"?29,351","?29,540","?29,350","?29,421"
06 July 2016,"?29,396","?29,421","?29,164","?29,237"
07 July 2016,"?29,301","?29,442","?29,301","?29,410"
08 July 2016,"?29,463","?29,554","?29,439","?29,531"
09 July 2016,"?29,538","?29,685","?29,522","?29,647"
10 July 2016,"?29,634","?29,688","?29,553","?29,621"
11 July 2016,"?29,738","?29,927","?29,706","?29,910"
12 July 2016,"?29,996","?30,007","?29,818","?29,974"
13 July 2016,"?29,947","?29,954","?29,818","?29,927"
14 July 2016,"?29,851","?29,886","?29,668","?29,707"
15 July 2016,"?29,753","?29,831","?29,553","?29,576"
16 July 2016,"?29,630","?29,805","?29,571","?29,788"
17 July 2016,"?29,839","?29,839","?29,550","?29,643"
18 July 2016,"?29,637","?29,660","?29,442","?29,461"
19 July 2016,"?29,470","?29,494","?29,363","?29,414"
20 July 2016,"?29,488","?29,701","?29,286","?29,319"
21 July 2016,"?29,370","?29,388","?29,241","?29,337"
22 July 2016,"?29,359","?29,453","?29,342","?29,422"
23 July 2016,"?29,576","?29,584","?29,259","?29,365"
24 July 2016,"?29,408","?29,681","?29,393","?29,656"
25 July 2016,"?29,825","?29,962","?29,781","?29,943"
26 July 2016,"?30,030","?30,167","?29,969","?30,133"
27 July 2016,"?30,141","?30,184","?29,973","?30,030"
28 July 2016,"?30,065","?30,068","?29,848","?29,918"
29 July 2016,"?30,021","?30,069","?29,804","?29,921"
30 July 2016,"?29,985","?30,021","?29,847","?29,895"
31 July 2016,"?30,070","?30,170","?30,007","?30,126"
01 August 2016,"?30,142","?30,177","?29,824","?29,859"
02 August 2016,"?29,915","?30,016","?29,877","?29,926"
03 August 2016,"?29,978","?30,018","?29,911","?29,933"
04 August 2016,"?29,989","?30,272","?29,987","?30,248"
05 August 2016,"?30,310","?30,366","?30,207","?30,251"
06 August 2016,"?30,286","?30,300","?30,111","?30,188"
07 August 2016,"?30,287","?30,358","?30,274","?30,322"
08 August 2016,"?30,391","?30,592","?30,363","?30,583"
09 August 2016,"?30,617","?30,692","?30,519","?30,659"
10 August 2016,"?30,467","?30,576","?30,394","?30,435"
11 August 2016,"?30,540","?30,712","?30,339","?30,465"
12 August 2016,"?30,639","?30,712","?30,517","?30,571"
13 August 2016,"?30,554","?30,611","?30,317","?30,365"
14 August 2016,"?30,447","?30,534","?30,248","?30,302"
15 August 2016,"?30,375","?30,793","?30,352","?30,750"
16 August 2016,"?30,766","?31,074","?30,746","?31,028"
17 August 2016,"?30,944","?31,214","?30,870","?31,109"
18 August 2016,"?31,112","?31,220","?31,064","?31,159"
19 August 2016,"?31,223","?31,255","?31,107","?31,146"
20 August 2016,"?31,117","?31,213","?31,062","?31,138"
21 August 2016,"?31,205","?31,333","?31,190","?31,273"
22 August 2016,"?31,275","?31,355","?31,198","?31,309"
23 August 2016,"?31,421","?31,430","?31,173","?31,191"
24 August 2016,"?31,253","?31,347","?31,173","?31,271"
25 August 2016,"?31,317","?31,355","?31,194","?31,213"
26 August 2016,"?31,197","?31,290","?31,087","?31,262"
27 August 2016,"?31,225","?31,225","?31,044","?31,096"
28 August 2016,"?31,091","?31,261","?31,062","?31,103"
29 August 2016,"?31,148","?31,190","?31,055","?31,156"
30 August 2016,"?31,223","?31,229","?31,026","?31,076"
31 August 2016,"?31,160","?31,183","?31,017","?31,056"
01 September 2016,"?31,169","?31,362","?31,163","?31,312"
02 September 2016,"?31,393","?31,393","?31,261","?31,298"
03 September 2016,"?31,302","?31,336","?31,194","?31,284"
04 September 2016,"?31,352","?31,523","?31,256","?31,291"
05 September 2016,"?31,353","?31,365","?31,110","?31,138"
06 September 2016,"?31,195","?31,295","?30,847","?30,958"
07 September 2016,"?30,989","?31,000","?30,799","?30,834"
08 September 2016,"?30,911","?31,098","?30,795","?30,858"
09 September 2016,"?30,825","?30,965","?30,681","?30,922"
10 September 2016,"?31,156","?31,258","?31,017","?31,222"
11 September 2016,"?31,331","?31,353","?31,166","?31,210"
12 September 2016,"?31,273","?31,285","?31,178","?31,246"
13 September 2016,"?31,298","?31,461","?31,265","?31,369"
14 September 2016,"?31,374","?31,426","?31,287","?31,361"
15 September 2016,"?31,511","?31,768","?31,471","?31,716"
16 September 2016,"?31,790","?31,885","?31,718","?31,747"
17 September 2016,"?31,813","?31,866","?31,731","?31,805"
18 September 2016,"?31,896","?32,092","?31,893","?32,037"
19 September 2016,"?32,100","?32,110","?31,898","?32,021"
20 September 2016,"?32,054","?32,132","?32,037","?32,075"
21 September 2016,"?31,776","?31,912","?31,626","?31,711"
22 September 2016,"?31,883","?31,979","?31,794","?31,955"
23 September 2016,"?32,034","?32,057","?31,860","?31,904"
24 September 2016,"?32,036","?32,062","?31,809","?32,029"
25 September 2016,"?32,100","?32,321","?32,058","?32,246"
26 September 2016,"?32,351","?32,374","?32,197","?32,228"
27 September 2016,"?32,256","?32,414","?32,226","?32,382"
28 September 2016,"?32,519","?32,673","?32,325","?32,383"
29 September 2016,"?32,381","?32,381","?32,105","?32,310"
30 September 2016,"?32,412","?32,547","?32,324","?32,515"
01 October 2016,"?32,580","?32,632","?32,462","?32,575"
02 October 2016,"?32,642","?32,686","?32,395","?32,477"
03 October 2016,"?32,503","?32,503","?32,195","?32,238"
04 October 2016,"?32,191","?32,352","?32,108","?32,325"
05 October 2016,"?32,378","?32,396","?32,236","?32,274"
06 October 2016,"?32,341","?32,355","?31,915","?32,014"
07 October 2016,"?31,926","?31,967","?31,732","?31,798"
08 October 2016,"?31,751","?31,756","?31,423","?31,531"
09 October 2016,"?31,356","?31,379","?31,128","?31,214"
10 October 2016,"?31,300","?31,526","?31,299","?31,449"
11 October 2016,"?31,566","?31,806","?31,399","?31,771"
12 October 2016,"?31,919","?31,938","?31,714","?31,795"
13 October 2016,"?31,730","?31,730","?31,349","?31,525"
14 October 2016,"?31,610","?31,642","?31,221","?31,259"
15 October 2016,"?31,394","?31,484","?31,242","?31,292"
